"ord"	"code"	"category"	"M.Valence"	"M.Arousal"	"M.Anger"	"M.Anxiety"	"M.Compassion"	"M.Guilt"	"M.Hope"	"SD.Valence"	"SD.Arousal"	"SD.Anger"	"SD.Anxiety"	"SD.Compassion"	"SD.Guilt"	"SD.Hope"	"n"
28	"ANX29"	"ANX"	35.44	50.03	54.82	49.71	54.15	40.44	32.53	24.26	26.19	26.03	27.67	26.47	29.39	27.67	34
29	"ANX30"	"ANX"	40.56	60.5	55.06	62.5	68.28	33.5	37.31	29.45	28.22	34.87	27.97	29.93	29.89	33.14	32
30	"ANG1"	"ANG"	32.18	58.64	56.48	48.06	44.64	31.64	36.18	25.99	26.2	28.44	30.54	30.96	28.01	30.1	33
31	"ANG2"	"ANG"	53.32	57.59	53.24	49.47	54.56	49.24	51.41	21.99	18.68	19.91	21.51	21.69	23.95	24.79	34
32	"ANG3"	"ANG"	28.82	66.15	69.59	61.59	47.56	40.82	38.03	30.03	27.74	28.53	29.96	29.01	29.81	30.4	34
33	"ANG4"	"ANG"	30.91	68.06	67.11	55.11	48.06	37.06	33	31.77	24.27	30.38	32.53	31.7	31.26	32.99	35
34	"ANG5"	"ANG"	53.34	64.97	71.25	57.62	60.88	35.62	59.12	28.57	24.38	22.63	26.86	22.6	27.62	26.51	32
35	"ANG6"	"ANG"	33.42	57.89	65.83	49.89	46.39	40.72	32.86	28.63	24.25	28.2	27.3	31.28	30.78	30.25	36
36	"ANG7"	"ANG"	26.51	72.74	73.69	59.34	51.66	38.23	35.6	29.62	17.08	21.8	28.73	29.77	28.59	32.84	35
37	"ANG8"	"ANG"	28.52	61.33	64.36	38.33	40.73	24.91	32.61	28.22	23.14	25.23	32.02	32.57	26.89	34.16	33
38	"ANG9"	"ANG"	29.82	63.09	67.21	48.59	40.12	39.06	26.32	29.83	26.47	28.02	31.83	34.95	30.75	31.04	34
39	"ANG10"	"ANG"	43.41	54.62	48.82	42.56	39.21	34.85	39.62	25.67	23.51	27.46	27.96	24.75	27.94	28.36	34
40	"ANG11"	"ANG"	34.86	62.54	64.91	53.63	53.89	39.37	37.06	26.15	20	24.62	24.55	25.66	24.86	26.39	35
41	"ANG12"	"ANG"	43.19	55.19	59.42	45.5	48.06	35.53	38.17	29.43	22.04	29.09	28.87	32	28.88	28.86	36
42	"ANG13"	"ANG"	34.19	55.47	61.53	52	46.56	38.47	26.69	28.15	30.14	30.62	33.5	32.31	30.19	25.19	36
43	"ANG14"	"ANG"	53.03	60.55	46.7	38.7	45.52	37.94	45.48	27.11	24.89	29.98	28.83	30.15	29.17	28.68	33
44	"ANG15"	"ANG"	38.62	61.18	62.24	49.26	53.06	40.5	38.59	28.5	20.28	28.15	25.31	26.84	29.44	27	34
45	"ANG16"	"ANG"	53.21	55.94	37.68	27.68	30.15	26.32	43.09	33.26	28.48	31.15	28.69	30.03	30.15	35.62	34
46	"ANG17"	"ANG"	36.31	49.84	50.16	34.69	36.03	28.91	32.19	27.56	32.24	31.69	33.49	32.59	30.76	34	32
47	"ANG18"	"ANG"	36.65	51.91	56.41	44.44	37.79	36.38	29.15	27.09	28.03	30.85	29.55	28.64	27.38	28.47	34
48	"ANG19"	"ANG"	33.89	49.44	53.06	37.28	49.08	32	32.03	21.82	32.17	32.3	33.59	31.81	32.15	31.2	36
49	"ANG20"	"ANG"	33.38	67.71	71.29	60.24	40.56	34.03	32.03	34.1	27.39	28.14	34.48	32.67	29.8	31.07	34
50	"ANG21"	"ANG"	35.73	67.03	71.27	62.15	38.76	45.64	38.36	31.37	21.32	21.88	26.22	29.37	28.73	28.23	33
51	"ANG22"	"ANG"	28.76	52.38	55.97	48.53	64.18	34.18	24.59	23.04	30.25	31.32	32.21	28.01	27.59	24.67	34
52	"ANG23"	"ANG"	36.03	56.23	66	50.23	44.46	32.51	36.43	25.54	27.47	30.22	28.9	30.2	26.91	29.92	35
53	"ANG24"	"ANG"	31.47	63.91	66.06	57.82	55.35	52.5	34.91	26.02	23.19	27.7	30.02	29.42	28.47	28.66	34
54	"ANG25"	"ANG"	29.53	61.47	75.32	53.21	36.26	43.09	30.68	31.56	28.11	26.43	28.47	31.48	34.19	28.42	34
55	"ANG26"	"ANG"	39.72	59.44	57.86	48.89	35.81	32.53	34.75	30.82	24.63	30.8	30.2	29.17	30.37	32.19	36
56	"ANG27"	"ANG"	39.57	49.34	45	39.17	46.11	36.03	36.37	25.76	29.17	29.83	28.55	30.61	30.08	32.27	35
57	"ANG28"	"ANG"	44.32	57.06	55.94	52.74	47.19	52.29	42.58	28.33	25.29	28.67	30.37	25.16	27.83	28.7	31
58	"ANG29"	"ANG"	43.57	42.6	32.8	35.46	48.71	24.51	30.26	23.75	27.89	26.47	29.2	30.31	26.28	31.75	35
59	"ANG30"	"ANG"	50.35	59.18	44.97	40.62	36.74	34.85	48.32	34.87	22.6	32.03	29.18	28.54	29.34	32.12	34
60	"HOP1"	"HOP"	63.06	58.83	34.06	41	50.06	36.91	66.37	25.98	22.02	29.2	30.26	27.45	27.48	30.24	35
61	"HOP2"	"HOP"	69.03	53.79	32.76	37.73	32.33	33.36	66	21.86	24.14	25.09	27.02	23.91	25.72	26.87	33
62	"HOP3"	"HOP"	65.67	55.36	43.3	40.36	47.85	44.27	58.91	23.18	25.63	29.97	27	28.44	27.06	27.31	33
63	"HOP4"	"HOP"	72.14	59.43	31.69	35.8	32.11	30.91	69.77	22.67	25.17	27.17	28.45	29.5	26.36	28.31	35
64	"HOP5"	"HOP"	73.32	59.41	28.44	29.62	28.53	30.12	69.59	23.92	27.83	27.9	28.09	27.84	27.04	23.71	34
65	"HOP6"	"HOP"	61.18	59.97	54.26	51.5	46.68	45.18	66.68	26.47	23.61	31.49	30.38	30.7	29.77	26.15	34
66	"HOP7"	"HOP"	67	57.2	37.03	34	35.49	33.34	64.74	29.06	26.47	33.99	30.8	31.31	29.33	32.21	35
67	"HOP8"	"HOP"	61.34	51.34	34.5	32.06	36.47	27.62	56.88	23.86	27.26	30.06	28.09	31.21	27.73	31.69	32
68	"HOP9"	"HOP"	71.12	54.48	32.85	34.18	38.33	36.76	66.33	19.35	25.21	25.83	27.56	24.09	24.54	22.43	33
69	"HOP10"	"HOP"	66.97	48.31	29.03	32.25	35.64	32.83	61.36	20.01	26.4	24.55	27.25	24.07	24.61	25.85	36
70	"HOP11"	"HOP"	79.56	61.72	23.56	31.09	36.12	34.62	76.59	16.9	25.71	28.03	30.2	31.53	32.23	22.6	32
71	"HOP12"	"HOP"	70.59	53.24	27.59	28.38	32	29.47	55.74	21.24	30.38	28.28	27.49	28.84	25.89	32.56	34
72	"HOP13"	"HOP"	64.41	46.94	21.91	25.21	30.09	22.91	59.03	30.36	30.58	23.35	27.4	29.08	25.61	33.46	34
